Day fraction since midnight on 	Photometer (mg/L)	Photometer (volts)
0.5934080877	0.0124783460	3.5351898670
0.5934659494	0.0123411380	3.5352637768
0.5935238173	0.0122897951	3.5352914333
0.5935816770	0.0121671958	3.5353574753
0.5936395612	0.0120339748	3.5354292393
0.5936974157	0.0119547518	3.5354719162
0.5937552942	0.0119237714	3.5354886055
0.5938131648	0.0118135680	3.5355479717
0.5938710400	0.0117401006	3.5355875492
0.5939289005	0.0115312077	3.5357000828
0.5939867519	0.0116334409	3.5356450081
0.5940446340	0.0115515655	3.5356891155
0.5941024935	0.0114688063	3.5357336998
0.5941603778	0.0113617070	3.5357913971
0.5942182581	0.0112107964	3.5358726978
0.5942761117	0.0110939639	3.5359356403
0.5943339845	0.0110156341	3.5359778404
0.5943918349	0.0109709380	3.5360019207
0.5944496995	0.0108063156	3.5360906124
0.5945075837	0.0107970228	3.5360956192
0.5945654583	0.0106385984	3.5361809731
